book,chapter,verse,text,version
PRO,4,21,No pierdas de vista mis palabras;guárdalas muy dentro de tu corazón.,NVI
PRO,4,22,Ellas dan vida a quienes las hallan;son la salud del cuerpo.,NVI
PRO,4,23,"Por encima de todas las cosas cuida tu corazón,porque de él mana la vida.",NVI
PRO,4,24,Aleja de tu boca la perversidad;aparta de tus labios las palabras corruptas.,NVI
PRO,4,25,Pon la mirada en lo que tienes delante;fija la vista en lo que está frente a ti.,NVI
PRO,4,26,Endereza las sendas por donde andas;allana todos tus caminos.,NVI
PRO,5,1,"Hijo mío, pon atención a mi sabiduríay presta oído a mi buen juicio,",NVI
PRO,5,2,para que al hablar mantengas la discrecióny retengas el conocimiento.,NVI
PRO,5,3,De los labios de la adúltera fluye miel;su lengua es más suave que el aceite.,NVI
PRO,5,4,Pero al final resulta más amarga que la hiely más cortante que una espada de dos filos.,NVI
PRO,5,5,Sus pies descienden hasta la muerte;sus pasos van derecho al sepulcro,NVI
PRO,5,6,"No tiene ella en cuenta el camino de la vida;sus sendas son torcidas, y ella no lo reconoce.",NVI
PRO,5,7,"Pues bien, hijo mío, préstame atencióny no te apartes de mis palabras.",NVI
PRO,5,8,"Aléjate de la adúltera;no te acerques a la puerta de su casa,",NVI
PRO,5,9,"para que no entregues a otros tu vigor,ni tus años a gente cruel;",NVI
PRO,5,10,"para que no sacies con tu fuerza a gente extraña,ni vayan a dar en casa ajena tus esfuerzos.",NVI
PRO,5,11,"Porque al final acabarás llorando,cuando todo tu ser se haya consumido.",NVI
PRO,5,12,Y dirás: «¡Cómo pude aborrecer la corrección!¡Cómo pudo mi corazón despreciar la disciplina!,NVI
PRO,5,13,"No atendí a la voz de mis maestros,ni presté oído a mis instructores.",NVI
PRO,5,14,"Ahora estoy al borde de la ruina,en medio de toda la comunidad».",NVI
PRO,5,15,"Bebe el agua de tu propio pozo,el agua que fluye de tu propio manantial.",NVI
PRO,5,16,¿Habrán de derramarse tus fuentes por las callesy tus corrientes de aguas por las plazas públicas?,NVI
PRO,5,17,"Son tuyas, solamente tuyas,y no para que las compartas con extraños.",NVI
PRO,5,18,¡Bendita sea tu fuente!¡Goza con la esposa de tu juventud!,NVI
PRO,5,19,"Es una gacela amorosa,es una cervatilla encantadora.¡Que sus pechos te satisfagan siempre!¡Que su amor te cautive todo el tiempo!",NVI
PRO,5,20,"¿Por qué, hijo mío, dejarte cautivar por una adúltera?¿Por qué abrazarte al pecho de la mujer ajena?",NVI
PRO,5,21,Nuestros caminos están a la vista del Señorél examina todas nuestras sendas.,NVI
PRO,5,22,Al malvado lo atrapan sus malas obras;las cuerdas de su pecado lo aprisionan.,NVI
PRO,6,1,"Hijo mío, si has salido fiador de tu vecino,si has hecho tratos para responder por otro,",NVI
PRO,6,2,"si te has comprometido verbalmente,enredándote con tus propias palabras,",NVI
PRO,6,3,"entonces has caído en manos de tu prójimo.Si quieres librarte, hijo mío, este es el camino:Ve corriendo y humíllate ante él;procura deshacer tu compromiso.",NVI
PRO,6,4,No permitas que se duerman tus ojos;no dejes que tus párpados se cierren.,NVI
PRO,6,5,"Líbrate, como se libra del cazador la gacela,como se libra de la trampa el ave.",NVI
PRO,6,6,"¡Anda, perezoso, fíjate en la hormiga!¡Fíjate en lo que hace, y adquiere sabiduría!",NVI
PRO,6,7,"No tiene quien la mande,ni quien la vigile ni gobierne;",NVI
PRO,6,8,"con todo, en el verano almacena provisionesy durante la cosecha recoge alimentos.",NVI
PRO,6,9,"Perezoso, ¿cuánto tiempo más seguirás acostado?¿Cuándo despertarás de tu sueño?",NVI
PRO,6,10,"Un corto sueño, una breve siesta,un pequeño descanso, cruzado de brazos…",NVI
PRO,6,11,"¡y te asaltará la pobreza como un bandido,y la escasez como un hombre armado!",NVI
PRO,6,12,"El bribón y sinvergüenza,el vagabundo de boca corrupta,",NVI
PRO,6,13,"hace guiños con los ojos,y señas con los pies y con los dedos.",NVI
PRO,6,14,"El malvado trama el mal en su mente,y siempre anda provocando disensiones.",NVI
PRO,6,15,"Por eso le sobrevendrá la ruina;¡de repente será destruido, y no podrá evitarlo!",NVI
PRO,6,16,"Hay seis cosas que el Señor aborrece,y siete que le son detestables:",NVI
PRO,6,17,"los ojos que se enaltecen,la lengua que miente,las manos que derraman sangre inocente,",NVI
PRO,6,18,"el corazón que maquina planes perversos,los pies que corren a hacer lo malo,",NVI
PRO,6,19,"el falso testigo que esparce mentiras,y el que siembra discordia entre hermanos.",NVI
PRO,6,20,"Hijo mío, obedece el mandamiento de tu padrey no abandones la enseñanza de tu madre.",NVI
PRO,6,21,Grábatelos en el corazón;cuélgatelos al cuello.,NVI
PRO,6,22,"Cuando camines, te servirán de guía;cuando duermas, vigilarán tu sueño;cuando despiertes, hablarán contigo.",NVI
PRO,6,23,"El mandamiento es una lámpara,la enseñanza es una luzy la disciplina que corrige es camino de vida.",NVI
PRO,6,24,"Te protegerán de la mujer malvada,de la mujer ajena y de su lengua seductora.",NVI
PRO,6,25,"No abrigues en tu corazón deseos por su belleza,ni te dejes cautivar por sus ojos,",NVI
PRO,6,26,"pues la ramera va tras un pedazo de pan,pero la mujer de otro hombre busca tu propia vida.",NVI
PRO,6,27,¿Puede alguien echarse brasas en el pechosin quemarse la ropa?,NVI
PRO,6,28,¿Puede alguien caminar sobre las brasassin quemarse los pies?,NVI
PRO,6,29,Pues tampoco quien se acuesta con la mujer ajenapuede tocarla y quedar impune.,NVI
PRO,6,30,No se desprecia al ladrónque roba para mitigar su hambre;,NVI
PRO,6,31,"pero, si lo atrapan, deberá devolversiete tantos lo robado,aun cuando eso le cueste todas sus posesiones.",NVI
PRO,6,32,Pero al que comete adulterio le falta el juicio;el que así actúa se destruye a sí mismo.,NVI
PRO,6,33,"No sacará más que golpes y vergüenzas,y no podrá borrar su oprobio.",NVI
PRO,6,34,"Porque los celos desatan la furia del esposo,y este no perdonará en el día de la venganza.",NVI
PRO,7,1,"Hijo mío, pon en práctica mis palabrasy atesora mis mandamientos.",NVI
PRO,7,2,"Cumple con mis mandatos, y vivirás;cuida mis enseñanzas como a la niña de tus ojos.",NVI
PRO,7,3,Llévalos atados en los dedos;anótalos en la tablilla de tu corazón.,NVI
PRO,7,4,"Di a la sabiduría: «Tú eres mi hermana»,y a la inteligencia: «Eres de mi sangre».",NVI
PRO,7,5,"Ellas te librarán de la mujer ajena,de la adúltera y de sus palabras seductoras.",NVI
PRO,7,6,Desde la ventana de mi casamiré a través de la celosía.,NVI
PRO,7,7,"Me puse a ver a los inexpertos,y entre los jóvenes observéa uno de ellos falto de juicio.",NVI
PRO,7,8,"Cruzó la calle, llegó a la esquina,y se encaminó hacia la casa de esa mujer.",NVI
PRO,7,9,Caía la tarde. Llegaba el día a su fin.Avanzaban las sombras de la noche.,NVI
PRO,7,10,"De pronto la mujer salió a su encuentro,con toda la apariencia de una prostitutay con solapadas intenciones.",NVI
PRO,7,11,"(Como es escandalosa y descarada,nunca hallan sus pies reposo en su casa.",NVI
PRO,7,12,"Unas veces por las calles, otras veces por las plazas,siempre está al acecho en cada esquina).",NVI
PRO,7,13,"Se prendió de su cuello, lo besó,y con todo descaro le dijo:",NVI
PRO,7,14,«Tengo en mi casa sacrificios de comuniónpues hoy he cumplido mis votos.,NVI
PRO,7,15,"Por eso he venido a tu encuentro;te buscaba, ¡y ya te he encontrado!",NVI
PRO,7,16,Sobre la cama he tendidomulticolores linos egipcios.,NVI
PRO,7,17,"He perfumado mi lechocon aroma de mirra, áloe y canela.",NVI
PRO,7,18,"Ven, bebamos hasta el fondo la copa del amor;¡disfrutemos del amor hasta el amanecer!",NVI
PRO,7,19,"Mi esposo no está en casa,pues ha emprendido un largo viaje.",NVI
PRO,7,20,"Se ha llevado consigo la bolsa del dinero,y no regresará hasta el día de luna llena».",NVI
PRO,7,21,Con palabras persuasivas lo convenció;con lisonjas de sus labios lo sedujo.,NVI
PRO,7,22,"Y él en seguida fue tras ella,como el buey que va camino al matadero;como el ciervo que cae en la trampa,",NVI
PRO,7,23,"hasta que una flecha le abre las entrañas;como el ave que se lanza contra la red,sin saber que en ello le va la vida.",NVI
PRO,7,24,"Así que, hijo mío, escúchame;presta atención a mis palabras.",NVI
PRO,7,25,"No desvíes tu corazón hacia sus sendas,ni te extravíes por sus caminos,",NVI
PRO,7,26,pues muchos han muerto por su causa;sus víctimas han sido innumerables.,NVI
PRO,8,1,¿Acaso no está llamando la sabiduría?¿No está elevando su voz la inteligencia?,NVI
PRO,8,2,"Establece su puesto en las alturas,a la vera del camino y en las encrucijadas.",NVI
PRO,8,3,"Junto a las puertas que dan a la ciudad,a la entrada misma, grita fuertemente:",NVI
PRO,8,4,«A vosotros los hombres os estoy llamando;dirijo mi voz a toda la humanidad,NVI
PRO,8,5,"Vosotros los inexpertos, ¡adquirid prudencia!Vosotros los necios, ¡obtened discernimiento!",NVI
PRO,8,6,"Escuchadme, que diré cosas importantes;mis labios hablarán lo correcto.",NVI
PRO,8,7,"Mi boca expresará la verdad,pues mis labios detestan la mentira.",NVI
PRO,8,8,Las palabras de mi boca son todas justas;no hay en ellas maldad ni doblez.,NVI
PRO,8,9,"Son claras para los entendidos,e irreprochables para los sabios.",NVI
PRO,8,10,"Optad por mi instrucción, no por la plata;por el conocimiento, no por el oro refinado.",NVI
PRO,8,11,"Vale más la sabiduría que las piedras preciosas,y ni lo más deseable se le compara.",NVI
PRO,8,12,"»Yo, la sabiduría, convivo con la prudenciay poseo conocimiento y discreción.",NVI
PRO,8,13,"Quien teme al Señor aborrece lo malo;yo aborrezco el orgullo y la arrogancia,la mala conducta y el lenguaje perverso.",NVI
PRO,8,14,Míos son el consejo y el buen juicio;míos son el entendimiento y el poder.,NVI
PRO,8,15,Por mí reinan los reyesy promulgan leyes justas los gobernantes.,NVI
PRO,8,16,Por mí gobiernan los príncipesy todos los nobles que rigen la tierra.,NVI
PRO,8,17,"A los que me aman, les correspondo;a los que me buscan, me doy a conocer.",NVI
PRO,8,18,"Conmigo están las riquezas y la honra,la prosperidad y los bienes duraderos.",NVI
PRO,8,19,Mi fruto es mejor que el oro fino;mi cosecha sobrepasa a la plata refinada.,NVI
PRO,8,20,"Voy por el camino de la rectitud,por los senderos de la justicia,",NVI
PRO,8,21,enriqueciendo a los que me amany acrecentando sus tesoros.,NVI
PRO,8,22,"»El Señor me dio la vida como primicia de sus obras,mucho antes de sus obras de antaño.",NVI
PRO,8,23,"Fui establecida desde la eternidad,desde antes que existiera el mundo.",NVI
PRO,8,24,No existían los grandes mares cuando yo nací;no había entonces manantiales de abundantes aguas.,NVI
PRO,8,25,"Nací antes que fueran formadas las colinas,antes que se cimentaran las montañas,",NVI
PRO,8,26,antes que él creara la tierra y sus paisajesy el polvo primordial con que hizo el mundo.,NVI
PRO,8,27,"Cuando Dios cimentó la bóveda celestey trazó el horizonte sobre las aguas,allí estaba yo presente.",NVI
PRO,8,28,Cuando estableció las nubes en los cielosy reforzó las fuentes del mar profundo;,NVI
PRO,8,29,"cuando señaló los límites del mar,para que las aguas obedecieran su mandato;cuando plantó los fundamentos de la tierra,",NVI
PRO,8,30,"allí estaba yo, afirmando su obra.Día tras día me llenaba yo de alegría,siempre disfrutaba de estar en su presencia;",NVI
PRO,8,31,me regocijaba en el mundo que él creó;¡en el género humano me deleitaba!,NVI
PRO,8,32,"»Y ahora, hijos míos, escuchadme:dichosos los que van por mis caminos.",NVI
PRO,8,33,"Atended a mi instrucción, y sed sabios;no la descuidéis.",NVI
PRO,8,34,"Dichosos los que me escuchany a mis puertas están atentos cada día,esperando a la entrada de mi casa.",NVI
PRO,8,35,"En verdad, quien me encuentra halla la viday recibe el favor del Señor",NVI
PRO,9,1,La sabiduría construyó su casay labró sus siete pilares.,NVI
PRO,9,2,"Preparó un banquete, mezcló su vinoy puso la mesa.",NVI
PRO,9,3,"Envió a sus doncellas, y ahora clamadesde lo más alto de la ciudad.",NVI
PRO,9,4,«¡Venid conmigo los inexpertos!—dice a los faltos de juicio—.,NVI
PRO,9,5,"Venid, disfrutad de mi pany bebed del vino que he mezclado.",NVI
PRO,9,6,"Dejad vuestra insensatez, y viviréis;andaréis por el camino del discernimiento.",NVI
PRO,9,7,»El que corrige al burlón se gana que lo insulten;el que reprende al malvado se gana su desprecio.,NVI
PRO,9,8,"No reprendas al insolente, no sea que acabe por odiarte;reprende al sabio, y te amará.",NVI
PRO,9,9,"Instruye al sabio, y se hará más sabio;enseña al justo, y aumentará su saber.",NVI
PRO,9,10,»El comienzo de la sabiduría es el temor del Señorconocer al Santo es tener discernimiento.,NVI
PRO,9,11,Por mí aumentarán tus días;muchos años de vida te serán añadidos.,NVI
PRO,9,12,"Si eres sabio, tu premio será tu sabiduría;si eres insolente, solo tú lo sufrirás».",NVI
PRO,9,13,"La mujer necia es escandalosa,frívola y desvergonzada.",NVI
PRO,9,14,"Se sienta a las puertas de su casa,se sienta en una silla en lo más alto de la ciudad,",NVI
PRO,9,15,"y llama a los que van por el camino,a los que no se apartan de su senda.",NVI
PRO,9,16,"«¡Venid conmigo, inexpertos!—dice a los faltos de juicio—.",NVI
PRO,9,17,¡Las aguas robadas saben a gloria!¡El pan sabe a miel si se come a escondidas!»,NVI
PRO,10,1,Proverbios de Salomón:El hijo sabio es la alegría de su padre;el hijo necio es el pesar de su madre.,NVI
PRO,10,2,"Las riquezas mal adquiridas no sirven de nada,pero la justicia libra de la muerte.",NVI
PRO,10,3,"El Señor no deja sin comer al justo,pero frustra la avidez de los malvados.",NVI
PRO,10,4,Las manos ociosas conducen a la pobreza;las manos hábiles atraen riquezas.,NVI
PRO,10,5,"El hijo prevenido se abastece en el verano,pero el sinvergüenza duerme en tiempo de cosecha.",NVI
PRO,10,6,"El justo se ve coronado de bendiciones,pero la boca del malvado encubre violencia.",NVI
PRO,10,7,"La memoria de los justos es una bendición,pero la fama de los malvados será pasto de los gusanos.",NVI
PRO,10,8,"El de sabio corazón acata las órdenes,pero el necio y rezongón va camino al desastre.",NVI
PRO,10,9,Quien se conduce con integridad anda seguro;quien anda en malos pasos será descubierto.,NVI
PRO,10,10,Quien guiña el ojo con malicia provoca pesar;el necio y rezongón va camino al desastre.,NVI
PRO,10,11,"Fuente de vida es la boca del justo,pero la boca del malvado encubre violencia.",NVI
PRO,10,12,"El odio es motivo de disensiones,pero el amor cubre todas las faltas.",NVI
PRO,10,13,"En los labios del prudente hay sabiduría;en la espalda del falto de juicio, solo garrotazos.",NVI
PRO,10,14,"El que es sabio atesora el conocimiento,pero la boca del necio es un peligro inminente.",NVI
PRO,10,15,La riqueza del rico es su baluarte;la pobreza del pobre es su ruina.,NVI
PRO,10,16,El salario del justo es la vida;la ganancia del malvado es el pecado.,NVI
PRO,10,17,El que atiende a la corrección va camino a la vida;el que la rechaza se pierde.,NVI
PRO,10,18,"El de labios mentirosos disimula su odio,y el que propaga calumnias es un necio.",NVI
PRO,10,19,El que mucho habla mucho yerra;el que es sabio refrena su lengua.,NVI
PRO,10,20,Plata refinada es la lengua del justo;el corazón del malvado no vale nada.,NVI
PRO,10,21,Los labios del justo orientan a muchos;los necios mueren por falta de juicio.,NVI
PRO,10,22,"La bendición del Señor trae riquezas,y nada se gana con preocuparse.",NVI
PRO,10,23,"El necio se divierte con su mala conducta,pero el sabio se recrea con la sabiduría.",NVI
PRO,10,24,"Lo que el malvado teme, eso le ocurre;lo que el justo desea, eso recibe.",NVI
PRO,10,25,"Pasa la tormenta y desaparece el malvado,pero el justo permanece firme para siempre.",NVI
PRO,10,26,Como vinagre a los dientes y humo a los ojoses el perezoso para quienes lo emplean.,NVI
PRO,10,27,"El temor del Señor prolonga la vida,pero los años del malvado se acortan.",NVI
PRO,10,28,El futuro de los justos es halagüeño;la esperanza de los malvados se desvanece.,NVI
PRO,10,29,El camino del Señor es refugio de los justosy ruina de los malhechores.,NVI
PRO,10,30,Los justos no tropezarán jamás;los malvados no habitarán la tierra.,NVI
PRO,10,31,"La boca del justo profiere sabiduría,pero la lengua perversa será cercenada.",NVI
PRO,11,1,"El Señor aborrece las balanzas adulteradas,pero aprueba las pesas exactas.",NVI
PRO,11,2,"Con el orgullo viene el oprobio;con la humildad, la sabiduría.",NVI
PRO,11,3,A los justos los guía su integridad;a los falsos los destruye su hipocresía.,NVI
PRO,11,4,"En el día de la ira de nada sirve ser rico,pero la justicia libra de la muerte.",NVI
PRO,11,5,"La justicia endereza el camino de los íntegros,pero la maldad hace caer a los impíos.",NVI
PRO,11,6,"La justicia libra a los justos,pero la codicia atrapa a los falsos.",NVI
PRO,11,7,"Muere el malvado, y con él su esperanza;muere también su ilusión de poder.",NVI
PRO,11,8,"El justo se salva de la calamidad,pero la desgracia le sobreviene al malvado.",NVI
PRO,11,9,"Con la boca el impío destruye a su prójimo,pero los justos se libran por el conocimiento.",NVI
PRO,11,10,"Cuando el justo prospera, la ciudad se alegra;cuando el malvado perece, hay gran regocijo.",NVI
PRO,11,11,"La bendición de los justos enaltece a la ciudad,pero la boca de los malvados la destruye.",NVI
PRO,11,12,"El falto de juicio desprecia a su prójimo,pero el entendido refrena su lengua.",NVI
PRO,11,13,La gente chismosa revela los secretos;quien es de fiar es discreto.,NVI
PRO,11,14,"Sin dirección, la nación fracasa;el éxito depende de los muchos consejeros.",NVI
PRO,11,15,El fiador de un extraño saldrá perjudicado;negarse a dar fianza es vivir en paz.,NVI
PRO,11,16,La mujer bondadosa se gana el respeto;los hombres violentos solo ganan riquezas.,NVI
PRO,11,17,"El que es bondadoso se beneficia a sí mismo;el que es cruel, a sí mismo se perjudica.",NVI
PRO,11,18,El malvado obtiene ganancias ilusorias;el que siembra justicia asegura su ganancia.,NVI
PRO,11,19,El que es justo obtiene la vida;el que persigue el mal se encamina a la muerte.,NVI
